Province,ProvinceCode,District,DistrictCode,FullName,Lat,Lon
Şırnak,73,Beytüşşebap,1189,"Beytüşşebap, Şırnak",37.570015,43.164000
Çanakkale,17,Biga,1190,"Biga, Çanakkale",40.226527,27.243600
Balıkesir,10,Bigadiç,1191,"Bigadiç, Balıkesir",39.393883,28.131500
Bilecik,11,Bilecik Merkez,1192,"Bilecik Merkez, Bilecik",40.142573,29.979300
Bingöl,12,Bingöl Merkez,1193,"Bingöl Merkez, Bingöl",38.885464,40.496600
Şanlıurfa,63,Birecik,1194,"Birecik, Şanlıurfa",37.024993,37.977500
Diyarbakır,21,Bismil,1195,"Bismil, Diyarbakır",37.850055,40.668700
Bitlis,13,Bitlis Merkez,1196,"Bitlis Merkez, Bitlis",38.400569,42.109500
Muğla,48,Bodrum,1197,"Bodrum, Muğla",37.034407,27.430500
Çorum,19,Boğazkale,1778,"Boğazkale, Çorum",40.021565,34.609300
Yozgat,66,Boğazlıyan,1198,"Boğazlıyan, Yozgat",39.193667,35.246800
Bolu,14,Bolu Merkez,1199,"Bolu Merkez, Bolu",40.732541,31.608200
Afyonkarahisar,3,Bolvadin,1200,"Bolvadin, Afyonkarahisar",38.712600,31.048400
Niğde,51,Bor,1201,"Bor, Niğde",37.894025,34.561800
Artvin,8,Borçka,1202,"Borçka, Artvin",41.363700,41.679100
İzmir,35,Bornova,1203,"Bornova, İzmir",38.470982,27.217700
Sinop,57,Boyabat,1204,"Boyabat, Sinop",41.466105,34.771100
Çanakkale,17,Bozcaada,1205,"Bozcaada, Çanakkale",39.816563,26.029600
Aydın,9,Bozdoğan,1206,"Bozdoğan, Aydın",37.672873,28.310200
Konya,42,Bozkır,1207,"Bozkır, Konya",37.188912,32.245400
Denizli,20,Bozkurt / Denizli,1889,"Bozkurt / Denizli, Denizli",37.796720,29.557200
Kastamonu,37,Bozkurt / Kastamonu,1208,"Bozkurt / Kastamonu, Kastamonu",41.867100,34.011900
Şanlıurfa,63,Bozova,1209,"Bozova, Şanlıurfa",37.336728,38.358700
Kırşehir,40,Boztepe,1890,"Boztepe, Kırşehir",39.270216,34.265800
Bilecik,11,Bozüyük,1210,"Bozüyük, Bilecik",39.906058,30.039800
Mersin,33,Bozyazı,1779,"Bozyazı, Mersin",36.237393,33.033900
